url,reference,text_content,error
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39308,1013364,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38737,1013366,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46761,1013374,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40104,1013389,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37570,1013438,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38048,1013545,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/44753,1013548,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38274,1013549,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35344,1013749,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34096,1013773,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34902,1013789,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45030,1013792,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37270,1013893,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37629,1013902,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37289,1013915,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37269,1013925,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39318,1013971,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35551,1013984,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34208,1013986,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35999,1014027,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39653,1014089,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39317,1014092,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41222,1014093,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45463,1014094,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34099,1014095,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39654,1014096,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34979,1014248,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42562,1014250,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34980,1014253,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45107,1014254,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41030,1014278,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33462,1014438,NA,cannot open the connection
